TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,13064,17424,15112,13064,0,0,0,0,0,0,0,0
2,0,0,0,0,7808,7808,9224,11016,0,0,0,0
3,0,0,0,0,0,0,0,0,1352,848,1352,1352
4,13064,17424,15112,13064,0,0,0,0,0,0,0,0
5,0,0,0,0,7808,7808,9224,11016,0,0,0,0
6,0,0,0,0,0,0,0,0,1352,848,1352,1352
7,13064,17424,15112,13064,0,0,0,0,0,0,0,0
8,0,0,0,0,7808,7808,9224,11016,0,0,0,0
9,0,0,0,0,0,0,0,0,1352,848,1352,1352
10,13064,17424,15112,13064,0,0,0,0,0,0,0,0
11,0,0,0,0,4736,6016,4736,4736,0,0,0,0
12,0,0,0,0,0,0,0,0,3240,3240,3240,2152
13,17424,15112,15112,13064,0,0,0,0,0,0,0,0
14,0,0,0,0,4736,6016,4736,4736,0,0,0,0
15,0,0,0,0,0,0,0,0,3240,3240,3240,2152
16,17424,15112,15112,13064,0,0,0,0,0,0,0,0
17,0,0,0,0,4736,6016,4736,4736,0,0,0,0
18,0,0,0,0,0,0,0,0,3240,3240,3240,2152
19,17424,15112,15112,13064,0,0,0,0,0,0,0,0
20,0,0,0,0,4736,6016,4736,4736,0,0,0,0
21,0,0,0,0,0,0,0,0,2152,3240,3240,848
22,15112,13064,15112,18960,0,0,0,0,0,0,0,0
23,0,0,0,0,4736,9224,7808,11016,0,0,0,0
24,0,0,0,0,0,0,0,0,2152,3240,3240,848
25,15112,13064,15112,18960,0,0,0,0,0,0,0,0
26,0,0,0,0,4736,9224,7808,11016,0,0,0,0
27,0,0,0,0,0,0,0,0,2152,3240,3240,848
28,15112,13064,15112,18960,0,0,0,0,0,0,0,0
29,0,0,0,0,4736,9224,7808,11016,0,0,0,0
30,0,0,0,0,0,0,0,0,2152,3240,3240,848
31,16392,18960,18960,17424,0,0,0,0,0,0,0,0
32,0,0,0,0,7808,7808,4736,11016,0,0,0,0
33,0,0,0,0,0,0,0,0,2152,4224,1352,848
34,16392,18960,18960,17424,0,0,0,0,0,0,0,0
35,0,0,0,0,7808,7808,4736,11016,0,0,0,0
36,0,0,0,0,0,0,0,0,2152,4224,1352,848
37,16392,18960,18960,17424,0,0,0,0,0,0,0,0
38,0,0,0,0,7808,7808,4736,11016,0,0,0,0
39,0,0,0,0,0,0,0,0,2152,4224,1352,848
40,16392,18960,18960,17424,0,0,0,0,0,0,0,0
41,0,0,0,0,6016,11016,6016,4736,0,0,0,0
42,0,0,0,0,0,0,0,0,848,4224,3240,3240
43,16392,16392,16392,18960,0,0,0,0,0,0,0,0
44,0,0,0,0,6016,11016,6016,4736,0,0,0,0
45,0,0,0,0,0,0,0,0,848,4224,3240,3240
46,16392,16392,16392,18960,0,0,0,0,0,0,0,0
47,0,0,0,0,6016,11016,6016,4736,0,0,0,0
48,0,0,0,0,0,0,0,0,848,4224,3240,3240
49,16392,16392,16392,18960,0,0,0,0,0,0,0,0
50,0,0,0,0,6016,11016,6016,4736,0,0,0,0
51,0,0,0,0,0,0,0,0,1352,2152,2152,4224
52,16392,18960,17424,13064,0,0,0,0,0,0,0,0
53,0,0,0,0,9224,7808,4736,4736,0,0,0,0
54,0,0,0,0,0,0,0,0,1352,2152,2152,4224
55,16392,18960,17424,13064,0,0,0,0,0,0,0,0
56,0,0,0,0,9224,7808,4736,4736,0,0,0,0
57,0,0,0,0,0,0,0,0,1352,2152,2152,4224
58,16392,18960,17424,13064,0,0,0,0,0,0,0,0
59,0,0,0,0,9224,7808,4736,4736,0,0,0,0
60,0,0,0,0,0,0,0,0,1352,2152,2152,4224
61,15112,18960,18960,16392,0,0,0,0,0,0,0,0
62,0,0,0,0,4736,6016,6016,7808,0,0,0,0
63,0,0,0,0,0,0,0,0,2152,1352,2152,3240
64,15112,18960,18960,16392,0,0,0,0,0,0,0,0
65,0,0,0,0,4736,6016,6016,7808,0,0,0,0
66,0,0,0,0,0,0,0,0,2152,1352,2152,3240
67,15112,18960,18960,16392,0,0,0,0,0,0,0,0
68,0,0,0,0,4736,6016,6016,7808,0,0,0,0
69,0,0,0,0,0,0,0,0,2152,1352,2152,3240
70,15112,18960,18960,16392,0,0,0,0,0,0,0,0
71,0,0,0,0,7808,11016,7808,11016,0,0,0,0
72,0,0,0,0,0,0,0,0,2152,2152,4224,848
73,16392,15112,13064,16392,0,0,0,0,0,0,0,0
74,0,0,0,0,7808,11016,7808,11016,0,0,0,0
75,0,0,0,0,0,0,0,0,2152,2152,4224,848
76,16392,15112,13064,16392,0,0,0,0,0,0,0,0
77,0,0,0,0,7808,11016,7808,11016,0,0,0,0
78,0,0,0,0,0,0,0,0,2152,2152,4224,848
79,16392,15112,13064,16392,0,0,0,0,0,0,0,0
80,0,0,0,0,7808,11016,7808,11016,0,0,0,0
81,0,0,0,0,0,0,0,0,4224,848,848,1352
82,18960,18960,18960,17424,0,0,0,0,0,0,0,0
83,0,0,0,0,11016,9224,11016,11016,0,0,0,0
84,0,0,0,0,0,0,0,0,4224,848,848,1352
85,18960,18960,18960,17424,0,0,0,0,0,0,0,0
86,0,0,0,0,11016,9224,11016,11016,0,0,0,0
87,0,0,0,0,0,0,0,0,4224,848,848,1352
88,18960,18960,18960,17424,0,0,0,0,0,0,0,0
89,0,0,0,0,11016,9224,11016,11016,0,0,0,0
90,0,0,0,0,0,0,0,0,4224,848,848,1352
91,15112,13064,13064,16392,0,0,0,0,0,0,0,0
92,0,0,0,0,7808,6016,11016,7808,0,0,0,0
93,0,0,0,0,0,0,0,0,4224,1352,4224,1352
94,15112,13064,13064,16392,0,0,0,0,0,0,0,0
95,0,0,0,0,7808,6016,11016,7808,0,0,0,0
96,0,0,0,0,0,0,0,0,4224,1352,4224,1352
97,15112,13064,13064,16392,0,0,0,0,0,0,0,0
98,0,0,0,0,7808,6016,11016,7808,0,0,0,0
99,0,0,0,0,0,0,0,0,4224,1352,4224,1352
100,15112,13064,13064,16392,0,0,0,0,0,0,0,0
101,0,0,0,0,11016,9224,4736,6016,0,0,0,0
102,0,0,0,0,0,0,0,0,848,1352,2152,848
103,15112,13064,18960,16392,0,0,0,0,0,0,0,0
104,0,0,0,0,11016,9224,4736,6016,0,0,0,0
105,0,0,0,0,0,0,0,0,848,1352,2152,848
106,15112,13064,18960,16392,0,0,0,0,0,0,0,0
107,0,0,0,0,11016,9224,4736,6016,0,0,0,0
108,0,0,0,0,0,0,0,0,848,1352,2152,848
109,15112,13064,18960,16392,0,0,0,0,0,0,0,0
110,0,0,0,0,11016,9224,4736,6016,0,0,0,0
111,0,0,0,0,0,0,0,0,848,848,2152,1352
112,15112,16392,16392,13064,0,0,0,0,0,0,0,0
113,0,0,0,0,4736,7808,6016,11016,0,0,0,0
114,0,0,0,0,0,0,0,0,848,848,2152,1352
115,15112,16392,16392,13064,0,0,0,0,0,0,0,0
116,0,0,0,0,4736,7808,6016,11016,0,0,0,0
117,0,0,0,0,0,0,0,0,848,848,2152,1352
118,15112,16392,16392,13064,0,0,0,0,0,0,0,0
119,0,0,0,0,4736,7808,6016,11016,0,0,0,0
120,0,0,0,0,0,0,0,0,848,848,2152,1352
121,13064,17424,16392,13064,0,0,0,0,0,0,0,0
122,0,0,0,0,11016,6016,4736,9224,0,0,0,0
123,0,0,0,0,0,0,0,0,1352,3240,4224,848
124,13064,17424,16392,13064,0,0,0,0,0,0,0,0
125,0,0,0,0,11016,6016,4736,9224,0,0,0,0
126,0,0,0,0,0,0,0,0,1352,3240,4224,848
127,13064,17424,16392,13064,0,0,0,0,0,0,0,0
128,0,0,0,0,11016,6016,4736,9224,0,0,0,0
129,0,0,0,0,0,0,0,0,1352,3240,4224,848
130,13064,17424,16392,13064,0,0,0,0,0,0,0,0
131,0,0,0,0,9224,11016,7808,9224,0,0,0,0
132,0,0,0,0,0,0,0,0,848,2152,2152,3240
133,18960,18960,16392,13064,0,0,0,0,0,0,0,0
134,0,0,0,0,9224,11016,7808,9224,0,0,0,0
